track_popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,0.175,0.356,7,-10.809,0.0351,0.0934,0.491,0.66,0.173,128.706,265893
61,0.175,0.875,7,-4.383,0.0527,0.00055,0.0347,0.324,0.394,149.366,226427
39,0.176,0.949,2,-6.25,0.198,0.00051,0.273,0.118,0.261,183.46,320773
45,0.176,0.274,2,-29.561,0.0592,0.00171,0.00124,0.352,0.0338,129.944,316491
0,0.177,0.394,8,-11.816,0.0473,0.91,0.0549,0.285,0.141,83.582,152392
0,0.178,0.478,5,-5.927,0.0396,0.954,0.00585,0.125,0.0841,167.301,292280
59,0.179,0.953,5,-2.686,0.202,0.0000,0.00109,0.363,0.337,153.955,249467
15,0.182,0.94,0,-5.188,0.0778,0.00029,0.0612,0.576,0.401,146.865,202735
48,0.184,0.81,9,-4.477,0.0675,0.00127,0.00020,0.128,0.0863,165.476,179347
56,0.184,0.841,0,-4.723,0.0468,0.00083,0.00004,0.0422,0.348,88.225,257640
44,0.184,0.871,8,-3.245,0.0661,0.00837,0.167,0.15,0.21,127.972,221286
61,0.185,0.91,0,-5.283,0.151,0.0001,0,0.18,0.188,165.355,225916
69,0.185,0.948,8,-3.892,0.147,0.0104,0,0.105,0.316,196.578,207587
46,0.186,0.749,8,-5.811,0.0764,0.00036,0,0.17,0.303,81.727,239583
0,0.187,0.421,0,-14.728,0.0392,0.28,0.685,0.576,0.073,63.248,141853
36,0.187,0.994,7,-1.25,0.0901,0.125,0.191,0.241,0.107,191.814,240000
46,0.188,0.61,7,-7.665,0.0453,0.0985,0.00141,0.278,0.411,205.586,190667
58,0.189,0.893,7,-3.107,0.0445,0.00004,0.539,0.183,0.599,198.468,217693
29,0.189,0.723,9,-6.92,0.0347,0.00054,0.00371,0.147,0.667,180.493,251101
44,0.191,0.615,9,-6.274,0.0369,0.164,0.00017,0.0627,0.301,165.464,372467
17,0.192,0.585,11,-7.36,0.037,0.15,0,0.127,0.0746,152.12,269853
50,0.192,0.824,7,-2.605,0.041,0.0854,0.00284,0.182,0.347,169.964,355867
48,0.193,0.0867,0,-22.19,0.0545,0.888,0.00006,0.112,0.0382,196.446,174667
8,0.193,0.68,8,-8.471,0.053,0.425,0.48,0.109,0.521,81.346,102133
59,0.193,0.5,7,-9.903,0.0381,0.108,0.0067,0.332,0.354,207.639,190333
34,0.193,0.229,7,-11.392,0.0342,0.907,0.00000,0.686,0.138,76.454,373747
55,0.194,0.132,11,-15.783,0.0349,0.919,0.182,0.159,0.04,74.848,321680
18,0.194,0.932,0,-6.72,0.0506,0.0142,0.0281,0.403,0.579,195.651,362840
67,0.195,0.483,4,-4.991,0.03,0.465,0.497,0.0686,0.173,84.71,269107
67,0.195,0.483,4,-4.991,0.03,0.465,0.497,0.0686,0.173,84.71,269107
62,0.197,0.798,2,-7.334,0.0656,0.00055,0.414,0.187,0.525,175.068,261387
0,0.198,0.618,10,-8.483,0.0309,0.0107,0.0232,0.0999,0.436,153.479,440267
61,0.198,0.162,1,-15.815,0.0343,0.926,0.00896,0.135,0.0527,70.453,185523
61,0.198,0.162,1,-15.815,0.0343,0.926,0.00896,0.135,0.0527,70.453,185523
0,0.199,0.347,4,-8.739,0.0294,0.127,0,0.123,0.194,175.175,236400
43,0.2,0.791,2,-7.593,0.0621,0.00131,0,0.155,0.233,150.136,295427
65,0.2,0.977,3,-3.494,0.159,0.00165,0.0000,0.259,0.39,195.711,199387
37,0.2,0.943,9,-8.217,0.0544,0.0125,0,0.139,0.778,203.243,313800
32,0.201,0.327,10,-11.975,0.0285,0.869,0.846,0.117,0.0945,107.019,97360
53,0.201,0.624,4,-5.59,0.0328,0.00196,0.0195,0.228,0.127,165.937,428520
67,0.202,0.644,11,-5.212,0.0324,0.0979,0,0.109,0.252,85.04,267080
43,0.204,0.77,7,-2.528,0.042,0.00698,0,0.338,0.326,77.096,239120
57,0.204,0.896,0,-5.931,0.049,0.00266,0,0.152,0.653,90.6,335827
48,0.204,0.794,2,-7.586,0.0618,0.00122,0,0.148,0.205,149.346,295427
54,0.204,0.844,2,-12.409,0.109,0.00042,0.165,0.123,0.305,183.719,320933
4,0.204,0.874,9,-9.128,0.0675,0.00151,0.0112,0.0899,0.632,157.013,429867
31,0.206,0.733,2,-5.817,0.0378,0.485,0,0.107,0.439,74.744,240995
57,0.206,0.4,11,-9.813,0.0324,0.053,0.638,0.111,0.196,133.442,258813
18,0.206,0.785,6,-5.168,0.0376,0.0988,0.00001,0.0869,0.214,145.226,194047
0,0.208,0.652,4,-7.449,0.0331,0.00038,0.078,0.199,0.126,95.639,466120
1,0.208,0.832,9,-11.009,0.0624,0.00356,0.0537,0.199,0.648,156.938,429973
39,0.208,0.572,3,-4.369,0.0386,0.251,0.0000,0.0935,0.144,171.135,394840
81,0.209,0.418,3,-8.74,0.0338,0.163,0.00195,0.113,0.123,138.265,295533
60,0.21,0.346,4,-12.069,0.0299,0.252,0.336,0.247,0.22,79.026,265627
74,0.21,0.94,9,-3.427,0.123,0.00602,0,0.269,0.255,179.722,186480
33,0.211,0.262,4,-11.892,0.0356,0.932,0.972,0.207,0.112,78.263,149500
12,0.211,0.809,10,-6.263,0.0474,0.00015,0.901,0.531,0.439,118.316,281844
23,0.211,0.96,3,-3.221,0.0733,0.00002,0.0106,0.205,0.248,159.414,272920
51,0.211,0.425,7,-46.448,0.0542,0.88,0.613,0.184,0.0122,116.884,181204
52,0.211,0.921,0,-4.468,0.0729,0.00005,0,0.1,0.351,171.9,243840
59,0.212,0.926,7,-3.378,0.14,0.00072,0.00001,0.081,0.262,162.103,348387
59,0.212,0.924,7,-3.349,0.135,0.00073,0.00000,0.0831,0.244,162.128,348387
42,0.213,0.693,5,-4.868,0.0492,0.615,0.00011,0.192,0.134,165.571,240000
60,0.213,0.634,4,-12.967,0.0596,0.369,0.00199,0.359,0.354,174.443,308800
60,0.213,0.634,4,-12.967,0.0596,0.369,0.00199,0.359,0.354,174.443,308800
34,0.214,0.942,5,-3.928,0.157,0.00036,0.708,0.0942,0.391,130.433,346117
71,0.214,0.947,4,-5.053,0.0507,0.00055,0.00352,0.238,0.483,170.616,193613
67,0.214,0.828,7,-2.66,0.0383,0.0142,0.00000,0.161,0.388,169.876,356600
55,0.214,0.156,6,-17.515,0.0443,0.951,0.00797,0.101,0.132,75.654,240067
62,0.215,0.911,9,-4.715,0.0394,0.00006,0.00000,0.183,0.47,183.535,315453
51,0.216,0.24,10,-12.598,0.0406,0.843,0.00001,0.135,0.0875,128.679,211093
78,0.217,0.905,2,-4.103,0.0752,0.00029,0.0001,0.222,0.236,96.95,311107
35,0.217,0.784,2,-7.202,0.153,0.00252,0.0775,0.195,0.27,79.181,383907
78,0.217,0.905,2,-4.103,0.0752,0.00029,0.0001,0.222,0.236,96.95,311107
67,0.217,0.92,8,-4.479,0.0628,0.00003,0,0.102,0.376,167.169,246040
60,0.218,0.772,7,-5.56,0.11,0.00654,0.0033,0.295,0.692,177.623,179960
54,0.218,0.576,8,-6.938,0.0387,0.0044,0.647,0.184,0.14,185.987,291440
75,0.218,0.215,5,-12.49,0.0368,0.967,0.0847,0.0948,0.138,76.74,248934
52,0.219,0.928,11,-9.997,0.0697,0.001,0.00000,0.341,0.446,197.462,185133
62,0.219,0.952,2,-3.621,0.176,0.0001,0.0989,0.157,0.172,112.886,176307
10,0.219,0.456,4,-10.916,0.0311,0.0751,0,0.258,0.309,81.863,167600
70,0.22,0.708,7,-9.051,0.035,0.00292,0.0267,0.102,0.453,66.214,220427
0,0.22,0.0286,1,-34.283,0.0562,0.943,0,0.218,0.0383,128.899,31893
0,0.221,0.473,9,-8.497,0.0301,0.399,0.00000,0.12,0.176,78.743,336640
16,0.221,0.956,0,-4.641,0.0876,0.0103,0.00052,0.195,0.432,173.254,233960
16,0.221,0.956,0,-4.641,0.0876,0.0103,0.00052,0.195,0.432,173.254,233960
61,0.222,0.81,0,-6.189,0.0399,0.00019,0.0181,0.084,0.266,96.302,290960
24,0.222,0.88,4,-6.528,0.0634,0.00004,0.00214,0.0822,0.213,84.038,244075
10,0.222,0.98,7,-4.393,0.242,0.00037,0.159,0.363,0.201,162.02,269750
43,0.222,0.394,0,-6.417,0.0334,0.62,0,0.0969,0.298,76.838,268581
0,0.223,0.952,0,-4.635,0.0861,0.0123,0.00045,0.216,0.472,173.487,233407
57,0.223,0.891,7,-4.918,0.133,0.0001,0.00042,0.107,0.558,170.6,233333
54,0.224,0.644,5,-7.276,0.0386,0.00407,0.252,0.537,0.0387,149.822,204800
50,0.225,0.501,3,-8.296,0.0341,0.112,0,0.0685,0.111,143.912,452389
37,0.225,0.0917,5,-20.384,0.0385,0.916,0.00091,0.153,0.152,86.34,163840
0,0.225,0.614,9,-8.112,0.0304,0.0216,0.00023,0.0794,0.454,147.724,452813
48,0.225,0.951,0,-4.654,0.0924,0.00837,0.00022,0.219,0.471,173.241,233947
45,0.225,0.121,2,-19.697,0.0375,0.924,0.00002,0.128,0.071,117.105,152333
44,0.226,0.442,11,-36.624,0.0562,0.0509,0.136,0.0791,0.0234,77.998,93010
44,0.228,0.753,1,-4.132,0.037,0.00149,0,0.108,0.291,170.878,214573
52,0.228,0.872,9,-5.479,0.0648,0.00672,0,0.242,0.278,91.724,246027
43,0.228,0.224,7,-12.749,0.0311,0.946,0.00022,0.273,0.18,60.3,213713
59,0.228,0.856,2,-5.296,0.0541,0.00012,0.00006,0.285,0.427,186.969,288453
11,0.228,0.568,4,-6.952,0.0355,0.187,0.00002,0.43,0.168,176.165,270247
50,0.228,0.999,6,-16.145,0.0562,0.47,0.924,0.852,0.00001000000000000000,108.354,177485
0,0.228,0.329,9,-10.295,0.0595,0.651,0,0.968,0.142,79.349,261493
49,0.229,0.915,10,-4.939,0.0762,0.0103,0.471,0.104,0.305,177.989,222760
51,0.229,0.871,6,-4.558,0.103,0.0133,0.00000,0.266,0.395,86.965,215653
56,0.229,0.671,8,-5.567,0.0437,0.0787,0,0.1,0.412,69.922,367440
17,0.229,0.46,7,-11.083,0.0349,0.00173,0.00001,0.0469,0.384,123.261,214906
7,0.23,0.684,9,-9.467,0.0368,0.462,0.818,0.312,0.0984,155.14,432867
63,0.23,0.216,10,-14.727,0.0376,0.911,0.829,0.0934,0.0618,92.022,323480
11,0.231,0.888,2,-3.414,0.0511,0.00078,0.00029,0.414,0.368,90.714,243823
0,0.231,0.855,0,-8.246,0.0431,0.00009,0.561,0.988,0.101,133.913,265333
68,0.231,0.866,9,-5.131,0.0517,0.00004,0.00055,0.29,0.191,138.311,255960
14,0.231,0.43,1,-11.601,0.0301,0.448,0.00141,0.229,0.155,104.668,273200
31,0.232,0.591,2,-8.467,0.0413,0.292,0.924,0.355,0.233,89.762,265798
0,0.232,0.396,2,-8.247,0.0302,0.33,0,0.673,0.194,147.207,374667
33,0.233,0.645,8,-5.456,0.0334,0.237,0.00002,0.378,0.31,187.281,196453
37,0.233,0.923,5,-3.701,0.0457,0.00834,0.905,0.291,0.145,102.011,181769
35,0.234,0.213,3,-15.166,0.0465,0.952,0.00007,0.264,0.0787,187.166,306480
49,0.234,0.927,5,-5.869,0.433,0.0000,0.00004,0.114,0.278,131.003,197679
41,0.234,0.757,0,-5.554,0.0421,0.0165,0.00002,0.0967,0.131,86.671,256800
29,0.235,0.481,2,-8.212,0.0583,0.0299,0.00001,0.053900000000000003,0.0949,74.995,250748
50,0.235,0.929,6,-3.644,0.0598,0.00065,0.00125,0.992,0.411,134.186,445173
20,0.235,0.386,5,-8.93,0.028,0.572,0,0.0863,0.0956,78.757,225861
1,0.236,0.198,0,-15.44,0.0355,0.747,0,0.131,0.33,165.433,148853
43,0.236,0.823,4,-7.165,0.0863,0.699,0.643,0.364,0.259,175.38,244813
12,0.236,0.97,1,-7.596,0.0656,0.00063,0.81,0.0994,0.303,195.217,211507
0,0.237,0.698,2,-7.698,0.0465,0.00073,0.199,0.116,0.794,186.093,307360
23,0.238,0.656,5,-7.493,0.0364,0.00006,0,0.112,0.51,74.994,220275
37,0.238,0.335,4,-12.409,0.0339,0.0817,0.00955,0.0928,0.0948,129.989,399307
65,0.238,0.967,4,-2.602,0.136,0.00021,0.00000,0.26,0.58,170.128,252003
0,0.24,0.65,2,-10.484,0.0404,0.0254,0,0.815,0.503,82.536,302240
45,0.24,0.877,11,-6.401,0.0505,0.034,0,0.127,0.875,180.03,168053
24,0.24,0.835,0,-6.861,0.142,0.0487,0,0.045,0.367,153.304,199416
70,0.24,0.116,0,-13.216,0.0329,0.877,0.0009,0.1,0.0937,77.349,188324
70,0.24,0.116,0,-13.216,0.0329,0.877,0.0009,0.1,0.0937,77.349,188324
5,0.241,0.984,1,-6.965,0.105,0.0666,0.0161,0.0636,0.317,170.398,231600
50,0.241,0.0695,7,-21.218,0.0439,0.986,0.00686,0.0863,0.0374,169.846,170693
65,0.241,0.468,2,-9.579,0.0272,0.534,0,0.161,0.451,91.581,112707
55,0.241,0.468,2,-9.579,0.0272,0.534,0,0.161,0.451,91.581,112707
54,0.241,0.445,8,-10.443,0.0386,0.694,0,0.0842,0.205,78.448,306533
42,0.241,0.722,4,-5.161,0.0426,0.0145,0.001,0.306,0.142,115.869,240335
30,0.242,0.0692,5,-17.157,0.0377,0.933,0,0.243,0.128,182.616,238640
50,0.242,0.591,7,-3.475,0.0505,0.0976,0.00002,0.122,0.321,198.732,204360
35,0.242,0.296,9,-12.441,0.0358,0.829,0.00004,0.133,0.172,153.293,273200
60,0.242,0.7,5,-5.772,0.0346,0.341,0,0.122,0.273,156.706,212533
55,0.242,0.859,0,-8.4,0.0663,0.056,0.116,0.38,0.671,96.929,276427
53,0.242,0.774,5,-5.156,0.0421,0.00006,0.00006,0.0821,0.197,186.045,170400
38,0.242,0.849,9,-4.973,0.0899,0.00019,0.00064,0.105,0.25,83.653,187202
38,0.243,0.717,6,-7.206,0.425,0.063,0,0.365,0.467,53.06,159817
67,0.243,0.609,10,-8.451,0.0323,0.663,0.00001,0.221,0.333,166.668,258027
38,0.243,0.808,9,-11.592,0.0592,0.00001,0.0706,0.0981,0.225,169.361,291573
42,0.243,0.865,8,-6.172,0.0584,0.00001,0.88,0.408,0.327,101.282,351961
10,0.244,0.645,5,-5.863,0.0456,0.00178,0.00574,0.301,0.529,183.577,188307
65,0.244,0.645,5,-5.863,0.0456,0.00178,0.00574,0.301,0.529,183.577,188307
0,0.244,0.741,4,-4.957,0.041,0.00165,0.00499,0.888,0.244,82.967,280613
38,0.245,0.805,6,-3.778,0.045,0.00029,0.00022,0.275,0.648,171.272,204760
34,0.245,0.458,2,-13.372,0.0409,0.718,0.963,0.154,0.0447,64.517,76573
52,0.245,0.471,9,-7.952,0.0313,0.652,0.00717,0.126,0.287,165.996,206693
0,0.245,0.705,1,-6.932,0.0628,0.0252,0.00132,0.043,0.07,127.916,243278
1,0.246,0.873,7,-4.78,0.0419,0.00053,0.95,0.154,0.157,124.016,320000
65,0.246,0.991,9,-3.903,0.087,0.00944,0.0753,0.867,0.415,159.39,187147
51,0.247,0.63,7,-6.615,0.0403,0.0444,0.00911,0.103,0.318,72.506,206720
38,0.247,0.975,11,-2.52,0.0522,0.00037,0.645,0.36,0.702,141.916,184133
46,0.247,0.931,9,-2.811,0.0762,0.333,0.0758,0.322,0.407,83.726,185285
1,0.247,0.8,9,-10.173,0.0986,0.00005,0.0535,0.074,0.516,160.326,154973
26,0.248,0.516,10,-7.818,0.0387,0.363,0.00000,0.0541,0.363,201.861,274080
31,0.248,0.33,2,-14.419,0.0396,0.14,0.0191,0.918,0.0456,73.627,262724
55,0.249,0.804,10,-3.233,0.0502,0.0201,0,0.262,0.389,155.066,192893
40,0.249,0.97,1,-5.879,0.121,0.0226,0.13,0.0701,0.26,165.059,166480
58,0.249,0.238,6,-15.612,0.0325,0.804,0,0.135,0.317,168.233,247933
0,0.25,0.947,10,-7.933,0.0959,0.0139,0.00003,0.975,0.439,183.891,291333
41,0.25,0.406,9,-8.458,0.0315,0.356,0.00001,0.103,0.112,167.964,306875
62,0.25,0.215,8,-13.676,0.037,0.632,0.0717,0.401,0.0746,174.824,195987
36,0.251,0.917,2,-5.552,0.118,0.00068,0.00045,0.217,0.504,127.112,149707
30,0.252,0.916,7,-6.357,0.0691,0.00001,0.751,0.105,0.385,119.927,209013
35,0.252,0.973,10,-3.6,0.224,0.00023,0.472,0.99,0.347,159.054,475963
43,0.252,0.592,9,-7.778,0.0314,0.0568,0.00028,0.14,0.229,170.094,176880
0,0.252,0.909,9,-8.347,0.0779,0.00004,0.597,0.38,0.41,130.345,157680
42,0.252,0.874,9,-6.596,0.0602,0.00307,0.014,0.122,0.377,172.804,367947
49,0.252,0.396,2,-5.332,0.0298,0.84,0,0.112,0.127,97.609,228784
37,0.252,0.289,7,-10.003,0.0442,0.462,0.0169,0.243,0.173,66.064,198013
42,0.253,0.72,8,-5.973,0.056,0.159,0.0157,0.155,0.132,70.515,214400
0,0.253,0.891,9,-7.719,0.0784,0.00399,0.00081,0.196,0.837,170.775,287040
44,0.253,0.49,0,-8.187,0.0373,0.0169,0.0337,0.111,0.0549,72.955,278919
35,0.253,0.931,11,-3.093,0.0616,0.00060,0.00217,0.0978,0.332,194.911,208077
43,0.254,0.349,10,-13.283,0.0302,0.791,0.326,0.0971,0.125,75.521,224200
25,0.254,0.672,3,-6.158,0.0446,0.154,0.0142,0.205,0.771,177.194,191733
44,0.255,0.43,9,-12.564,0.0322,0.546,0.00002,0.188,0.546,164.267,197813
47,0.255,0.479,7,-9.643,0.031,0.416,0.579,0.103,0.0609,136.827,266277
1,0.255,0.993,8,-6.759,0.199,0.00096,0.741,0.13,0.214,190.507,203000
0,0.255,0.545,9,-11.364,0.0287,0.00905,0.00796,0.0624,0.569,145.57,453200
24,0.255,0.372,4,-16.437,0.0424,0.291,0,0.269,0.392,82.417,297480
44,0.255,0.43,9,-12.564,0.0322,0.546,0.00002,0.188,0.546,164.267,197813
23,0.255,0.947,10,-2.67,0.105,0.00022,0.00039,0.388,0.352,92.173,254240
0,0.256,0.583,7,-12.102,0.0356,0.124,0.835,0.15,0.112,107.313,332800
60,0.256,0.335,9,-13.588,0.0313,0.74,0.0166,0.0857,0.415,198.745,218947
0,0.256,0.863,5,-6.582,0.106,0.00003,0.00405,0.364,0.521,158.947,389333
61,0.256,0.679,9,-4.495,0.0387,0.00451,0.0409,0.172,0.325,158.718,295373
74,0.256,0.641,1,-10.283,0.0552,0.199,0.0329,0.0853,0.382,203.006,281160
2,0.256,0.863,5,-6.582,0.106,0.00003,0.00405,0.364,0.521,158.947,389333
0,0.256,0.863,5,-6.582,0.106,0.00003,0.00405,0.364,0.521,158.947,389333
0,0.256,0.643,5,-8.525,0.0337,0.339,0.00343,0.707,0.253,130.48,277293
14,0.257,0.803,7,-3.886,0.0411,0.137,0.0156,0.297,0.294,150.818,308667
47,0.257,0.473,6,-9.873,0.0331,0.00087,0.367,0.32,0.452,173.75,320707
14,0.257,0.803,7,-3.886,0.0411,0.137,0.0156,0.297,0.294,150.818,308667
46,0.257,0.451,9,-6.577,0.0326,0.0917,0.00002,0.0869,0.112,77.439,232560
81,0.258,0.437,11,-6.593,0.039,0.101,0.00000,0.106,0.0967,180.043,239000
81,0.258,0.437,11,-6.593,0.039,0.101,0.00000,0.106,0.0967,180.043,239000
21,0.258,0.752,8,-4.135,0.0306,0.0019,0,0.0851,0.275,139.529,251733
25,0.258,0.968,7,-3.877,0.112,0.00085,0.627,0.826,0.21,185.35,218595
81,0.258,0.437,11,-6.593,0.039,0.101,0.00000,0.106,0.0967,180.043,239000
42,0.259,0.76,4,-5.029,0.0709,0.0354,0,0.174,0.232,171.777,252000
31,0.259,0.919,8,-4.649,0.0717,0.00003,0.364,0.339,0.3,162.229,219725
0,0.259,0.913,2,-8.477,0.134,0.0666,0.00008,0.803,0.513,144.815,306225
25,0.259,0.558,4,-9.042,0.0339,0.186,0.923,0.117,0.0826,71.598,75533
50,0.259,0.436,10,-7.216,0.035,0.0994,0,0.292,0.152,78.096,376667
0,0.26,0.432,9,-10.198,0.0353,0.171,0.00765,0.239,0.267,164.154,256080
0,0.26,0.825,7,-3.555,0.0427,0.0767,0.0145,0.328,0.279,148.557,308560
1,0.26,0.978,8,-3.842,0.217,0.00050000000000000001,0.00011,0.28,0.272,133.104,220533
55,0.261,0.174,7,-16.161,0.0346,0.854,0.893,0.169,0.0393,138.999,323080
77,0.262,0.606,8,-6.646,0.0484,0.247,0,0.125,0.275,189.857,252534
52,0.262,0.458,4,-7.228,0.0368,0.887,0.00003,0.356,0.118,145.353,286537
18,0.262,0.897,4,-2.712,0.398,0.0237,0,0.11,0.253,199.651,153104
9,0.262,0.793,11,-8.668,0.0646,0.00968,0.08,0.115,0.247,152.447,183973
0,0.262,0.941,1,-3.409,0.0867,0.0139,0.833,0.233,0.141,191.983,183984
62,0.262,0.606,8,-6.646,0.0484,0.247,0,0.125,0.275,189.857,252534
4,0.263,0.648,6,-6.843,0.0496,0.485,0.00015,0.137,0.24,69.404,261400
58,0.263,0.442,8,-8.279,0.0309,0.603,0.00000,0.106,0.133,92.179,334373
49,0.263,0.279,4,-12.312,0.0299,0.385,0.00009,0.184,0.0892,77.122,206173
62,0.263,0.871,2,-7.496,0.131,0.106,0,0.363,0.622,206.679,278960
33,0.263,0.933,7,-4.468,0.143,0.00001,0.37,0.0982,0.429,133.991,204907
0,0.263,0.807,9,-8.617,0.0843,0.00001,0.296,0.13,0.461,160.479,154973
8,0.263,0.734,8,-4.704,0.0303,0.00147,0,0.0865,0.26,141.004,251733
61,0.263,0.663,9,-8.264,0.19,0.589,0.00451,0.342,0.25,167.271,366733
0,0.264,0.205,10,-10.527,0.031,0.922,0.00007,0.0851,0.105,84.24,225505
66,0.264,0.78,0,-2.741,0.0517,0.0452,0.0222,0.376,0.456,155.376,280467
2,0.264,0.698,10,-9.448,0.0582,0.147,0.00018,0.122,0.303,174.112,279417
45,0.264,0.964,5,-5.433,0.0867,0.00017,0.0038,0.194,0.306,140.202,286400
2,0.264,0.95,4,-7.183,0.0685,0.00264,0.0453,0.433,0.468,113.288,370333
66,0.264,0.78,0,-2.741,0.0517,0.0452,0.0222,0.376,0.456,155.376,280467
12,0.264,0.981,6,-2.909,0.0526,0.00087,0.384,0.112,0.23,127.87,277509
12,0.264,0.981,6,-2.909,0.0526,0.00087,0.384,0.112,0.23,127.87,277509
25,0.264,0.981,6,-2.909,0.0526,0.00087,0.384,0.112,0.23,127.87,277509
2,0.265,0.721,9,-5.967,0.0371,0.0125,0.00285,0.63,0.163,149.662,239827
66,0.265,0.553,0,-10.198,0.0702,0.727,0,0.983,0.237,76.114,329400
50,0.265,0.47,8,-8.349,0.0444,0.899,0.0617,0.226,0.145,121.024,152250
0,0.266,0.522,10,-9.348,0.0323,0.714,0.00331,0.617,0.482,163.205,268533
56,0.266,0.389,4,-13.682,0.0305,0.244,0.00000,0.0688,0.148,140.243,256173
48,0.266,0.756,0,-5.386,0.0464,0.00313,0.00019,0.154,0.16,137.102,231093
0,0.266,0.806,9,-7.642,0.0513,0.00152,0.0359,0.193,0.737,179.944,299467
56,0.266,0.389,4,-13.682,0.0305,0.244,0.00000,0.0688,0.148,140.243,256173
27,0.266,0.993,1,-3.225,0.122,0.00458,0.664,0.0796,0.478,104.972,160976
55,0.267,0.21,9,-8.994,0.0292,0.825,0,0.105,0.288,194.352,183667
74,0.267,0.953,1,-4.899,0.096,0.00211,0,0.283,0.568,84.989,267307
0,0.267,0.787,2,-7.766,0.0428,0.00692,0.505,0.18,0.268,130.039,316160
53,0.267,0.321,6,-12.369,0.0269,0.883,0.94,0.0871,0.0394,77.204,183146
53,0.267,0.953,1,-4.899,0.096,0.00211,0,0.283,0.568,84.989,267307
